-20	0.00370374355057
-19	0.00634424671529
-18	0.00941514083007
-17	0.00924684799033
-16	0.010327881162
-15	0.0149349778202
-14	0.0202516633748
-13	0.0260295479022
-12	0.0282055190939
-11	0.0354122349066
-10	0.0463221760321
-9	0.0550941017863
-8	0.0679323676472
-7	0.0790552834176
-6	0.0977789539311
-5	0.115701737182
-4	0.139293849739
-3	0.161217477936
-2	0.184005921813
-1	0.215725071301
0	0.242796760625
1	0.274045026148
2	0.305431367426
3	0.331679937318
4	0.363406162092
5	0.390461519342
6	0.417744320892
7	0.444049110902
8	0.468712989754
9	0.493657710349
10	0.515623910731
11	0.538447335835
12	0.561020428922
13	0.584541563588
14	0.603453673018
15	0.625743254204
16	0.649333775172
17	0.666277625399
18	0.687997131629
19	0.708181893559
20	0.728138864579
21	0.749231485824
22	0.76767625678
23	0.783847148755
24	0.799420316834
25	0.817068734771
26	0.831492396036
27	0.843257051997
28	0.854810343634
29	0.864795999471
30	0.873979299523
