-20	-0.0362568526107
-19	-0.0369260886676
-18	-0.0372321864972
-17	-0.0360591702053
-16	-0.0370050996027
-15	-0.0378457322869
-14	-0.0380303486959
-13	-0.0381167132085
-12	-0.0378785407188
-11	-0.0382635603922
-10	-0.0378436699935
-9	-0.0391791461577
-8	-0.0419757638686
-7	-0.0439117003235
-6	-0.0460419352946
-5	-0.0470902060676
-4	-0.052934188751
-3	-0.0553838770562
-2	-0.0594684263172
-1	-0.06349176835
0	-0.0677671262437
1	-0.0709919794485
2	-0.0746161067372
3	-0.0767156279409
4	-0.0788296481869
5	-0.0807887312451
6	-0.0828317955014
7	-0.0819522744519
8	-0.0831274209176
9	-0.0837871359034
10	-0.0846802562711
11	-0.085050181303
12	-0.0849181777813
13	-0.0856824985805
14	-0.0856244979822
15	-0.0856900639194
16	-0.0856350021343
17	-0.0855850732857
18	-0.0857800491638
19	-0.0858843827186
20	-0.0855541946491
21	-0.0858141428283
22	-0.0859391917548
23	-0.0860031821249
24	-0.0860689992648
25	-0.086051731897
26	-0.0860889911708
27	-0.0861552864971
28	-0.0861574077523
29	-0.0862668404088
30	-0.0861651977442
